platform,URL,date_crawl,customer_name,time_comment,content,thank_count
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@thuongnguyenvan2565,2024-03-02T11:38:51Z,"Cứ nói thế chứ, đã là ifan rồi thì 60hz cũng vẫn ngon, bảo cùng tầm giá mua con android thì mình ko bao h nghĩ tới chứ đừng nói là mua dùng, mình dùng cơ bản, chơi game ít, dùng máy lâu dài nên iPhone gần như là vô đối rồi.",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@shiningvietnamtv12,2024-03-02T10:23:58Z,@vinhxo69😏giống phim japan  he,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@lenhoangviet8788,2024-03-02T09:40:59Z,Định mệnh. Dùng flagship còn chê gì,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tamphan5562,2024-03-02T09:03:32Z,0,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tibi2972,2024-03-02T06:37:42Z,Con này mà màn 120hz hay 90hz  chắc 15 pro ế luôn :v,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@danghoang8718,2024-03-02T05:28:06Z,A e ý kiên gi vê pixel 8 la chiêc điện thoại cua năm 2023,2
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@JourneySeekers123,2024-03-02T05:20:34Z,quả táo cắn gần hết rồi chứ còn cắn dở cái gì nữa :),0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@hailammedia,2024-03-02T04:54:18Z,cái zụ Face ID hơi khó chịu nha @@ Nó nhanh quá dẫn đến nhiều lúc chưa kịp check thông tin thì đã chuyển tiền đi rồi. Nên tôi đã tắt thanh toán bằng face. chỉ dùng mở khóa @,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@ucat4818,2024-03-02T04:39:20Z,Vâng em đã bị méo ngón tay 😢,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@NgocLe-ej8ug,2024-03-02T04:05:51Z,Trước này mình chỉ dùng samsung mình muốn đổi dòng iPhone có nên  ko,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@MinhNguyen-ey5me,2024-03-02T03:22:19Z,mình chuyển từ 120Hz của SS qua ip 60Hz. Đúng là lúc mới chuyển qua lại thấy nó giựt và animation nó chậm thật. Nhưng thực sự 1 tuần hay 5 ngày sau mắt nó quen là lại thấy nó mượt à haha.,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@CuongNguyen-hm5ld,2024-03-02T03:04:30Z,Em xin link mua cái ốp ss s24 ultra của anh Rương với ạ,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@triminh9002,2024-03-02T03:02:36Z,Đêm qua vừa săn đc con ring của Zagg 129k hehe,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@HogpuanVIE,2024-03-02T02:17:30Z,"Không phải k có tiền mà với mình con ip thường đã đủ đáp ứng đủ mọi nhu cầu, hơn hết là nhẹ :))))",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@vanhau234,2024-03-02T02:00:53Z,"Vì nó nhẹ và nó gọn kể có 1 cam cũng được, vì mh k dùng cam mấy",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@user-is8kt2sz7h,2024-03-02T01:38:17Z,Mấy anti iphone luôn chê và nó luôn bán chạy :))😂😂😂,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@trietnguyenthanh4246,2024-03-02T01:09:08Z,"e sài 15 thường bản blue cũng 4 5 tháng r và chưa thấy lỗi gì, sài ưng vãi",0
