Platform,Date_Crawl,brand,product_name,current_price,discount_price,discount,sold_quanlity,rating_average,rating_count,time_comment,content_cmt,status,color,capacy
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/8/2023,"Nguyên đai, nguyên kiện hàng mới 100 phần trăm, giao hàng bằng máy bay sáng đặt chiều có,, hàng chính hãng,tặng Shop 10 sao nè! Cảm ơn nhiều. ",,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/23/2024,"Các tính năng đột phá, yêu cổng USB-C!, Độ phân giải màn hình tuyệt vời., Tuổi thọ pin lâu dài.,  ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/27/2024,"Chất liệu:  màu hồng
 Chất lượng:  chính hãng chưa active
 Tính năng:  chụp hình đẹp giao hàng nhanh chóng ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/21/2023,"Gói hàng cẩn thận, đệm mút dày, nhận hàng không có dấu hiệu bị móp. Có tem niêm phong của lazada, cbi hàng hơi lâu nhưng giao cực nhanh, shipper nhiệt tình giao ngày mưa gió.  ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/20/2024,"Màu sắc tuyệt đẹp, khó lựa chọn!, Thiết kế mượt mà, rất ưng!, Chất lượng camera ấn tượng!,  ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/20/2024,"Giao hàng nhanh chóng và an toàn., Độ phân giải màn hình tuyệt vời.,  ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/12/2023,Rất đáng tiền ,,Black,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/19/2024,"Máy xịn, đóng gói cẩn thận, giá tốt ",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/24/2024,Newseal chưa bóc máy chuẩn chất lượng ,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/18/2023,"Giao hàng nhanh chóng và an toàn.,  ",,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,"Các tính năng đột phá, yêu cổng USB-C!, Lựa chọn màu sắc tuyệt vời!, Giao hàng nhanh chóng và an toàn., Độ phân giải màn hình tuyệt vời., Tuổi thọ pin lâu dài., Thiết kế mượt mà, rất ưng!, Dung lượng lưu trữ đủ dùng., ",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/18/2023,"Màu sắc tuyệt đẹp, khó lựa chọn!,  ",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/18/2023,Máy chính hãng nhưng shop giao hàng cực kỳ lâu ,,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,,"Giao hàng nhanh chóng và an toàn.Thiết kế mượt mà, rất ưng!...
 ",,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/8/2023,"Chất lượng:  good
 Tính năng:  good
 Chất liệu:  good ",,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/18/2023,"Tính năng:tốt
 Chất lượng:tốt
 Chất liệu:chuẩn
giao hàng nhanh , shiper nhiệt tình , thân thiện .Chất lượng khi nhận hàng được đảm bảo đúng mẫu mã ko có tình trạng trầy xước hay móp méo ",,Vàng,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,10/10/2023,Tốt ,,Pink,256GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/17/2024,Ok ,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/15/2023,tốt  ,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,11/4/2023,tot ,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,12/17/2023,,,Xanh dương,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,1/7/2024,,,Pink,128GB
Lazada,3/13/2024,Apple,Apple iPhone 15,25.990.000 ₫,24.690.000 ₫,-5%,707,,147,9/30/2023,,,Hồng,128GB
