Platform_x,URL,Date Crawled,Product Title,Current Price,Discounted Price,Rating Average,Rating Count,Platform_y,Customer Name,Time Comment,Content,content_rate
CellPhones,https://cellphones.com.vn/iphone-15-plus.html,3/10/2024,iPhone 15 Plus 128GB | Chính hãng VN/A,25.990.000đ,22.990.000đ,5.0/5,5 đánh giá,CellPhones,Lê Đức Nhân,30/9/2023 20:44,"Thời gian nhận sản phẩm rất nhanh kể từ ngày mở bán, nhân viên Cẩm Nhung thân thiện, nhiệt tình.","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Thời gian nhận sản phẩm rất nhanh kể từ ngày mở bán, nhân viên Cẩm Nhung thân thiện, nhiệt tình."
CellPhones,https://cellphones.com.vn/iphone-15-plus-512gb.html,3/10/2024,iPhone 15 Plus 512GB | Chính hãng VN/A,,,5.0/5,1 đánh giá,CellPhones,Nguyễn Lê tấn tài,2/10/2023 20:31,Bao lâu iphone15 plus 512 hồng có hàng vậy shop,Bao lâu iphone15 plus 512 hồng có hàng vậy shop
CellPhones,https://cellphones.com.vn/iphone-15-pro.html,3/10/2024,iPhone 15 Pro 128GB | Chính hãng VN/A,28.990.000đ,26.390.000đ,5.0/5,3 đánh giá,CellPhones,Lê Vy,31/10/2023 10:25,"Đã trải nghiệm ip15 pro ở CellphoneS, máy đẹp, sử dụng thoải mái, test máy mượt","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Đã trải nghiệm ip15 pro ở CellphoneS, máy đẹp, sử dụng thoải mái, test máy mượt"
CellPhones,https://cellphones.com.vn/iphone-15-pro.html,3/10/2024,iPhone 15 Pro 128GB | Chính hãng VN/A,28.990.000đ,26.390.000đ,5.0/5,3 đánh giá,CellPhones,TRAM PHAM,25/10/2023 12:01,"Sản phẩm tốt, chỉnh sửa video mượt, thao tác nhanh chóng, cầm nhẹ hơn 14 Pro","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Sản phẩm tốt, chỉnh sửa video mượt, thao tác nhanh chóng, cầm nhẹ hơn 14 Pro"
CellPhones,https://cellphones.com.vn/iphone-15-pro.html,3/10/2024,iPhone 15 Pro 128GB | Chính hãng VN/A,28.990.000đ,26.390.000đ,5.0/5,3 đánh giá,CellPhones,Nguyễn Nhật Trung,25/10/2023 11:56,"IP 15 Pro màn nhỏ cầm vừa tay, mượt, màu titan trắng đẹp lắm","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
IP 15 Pro màn nhỏ cầm vừa tay, mượt, màu titan trắng đẹp lắm"
CellPhones,https://cellphones.com.vn/iphone-15-pro-256gb.html,3/10/2024,iPhone 15 Pro 256GB | Chính hãng VN/A,31.990.000đ,29.490.000đ,5.0/5,1 đánh giá,CellPhones,Nguyễn Đức Minh,31/10/2023 20:51,Tôi hài lòng dịch vụ ở cellphones,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Tôi hài lòng dịch vụ ở cellphones"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Thọ Trần,10/3/2024 17:19,Sản phẩm tốt Tuỵt dời 🤗,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Sản phẩm tốt Tuỵt dời 🤗"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Keima Khiêm,4/3/2024 06:11,Qua tuyet voi a,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Qua tuyet voi a"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Quang Huy,2/3/2024 22:07,E xin huỷ đợn ạ e bấm nhầm ạ,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
E xin huỷ đợn ạ e bấm nhầm ạ"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Quang Huy,2/3/2024 22:05,Cho Huỷ Ạ e bấm nhầm 2 đơn luôn à,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Cho Huỷ Ạ e bấm nhầm 2 đơn luôn à"
