Platform,URL,Date Crawled,Product Title,Current Price,Discounted Price,Rating Average,Rating Count
CellPhones,https://cellphones.com.vn/iphone-15.html,3/10/2024,iPhone 15 128GB | Chính hãng VN/A,22.990.000đ,19.990.000đ,4.9/5,7 đánh giá
CellPhones,https://cellphones.com.vn/iphone-15-256gb.html,3/10/2024,iPhone 15 256GB | Chính hãng VN/A,25.990.000đ,23.990.000đ,,
CellPhones,https://cellphones.com.vn/iphone-15-512gb.html,3/10/2024,iPhone 15 512GB | Chính hãng VN/A,,,,
CellPhones,https://cellphones.com.vn/iphone-15-plus.html,3/10/2024,iPhone 15 Plus 128GB | Chính hãng VN/A,25.990.000đ,22.990.000đ,5.0/5,5 đánh giá
CellPhones,https://cellphones.com.vn/iphone-15-plus-256gb.html,3/10/2024,iPhone 15 Plus 256GB | Chính hãng VN/A,28.990.000đ,26.990.000đ,,
CellPhones,https://cellphones.com.vn/iphone-15-plus-512gb.html,3/10/2024,iPhone 15 Plus 512GB | Chính hãng VN/A,,,5.0/5,1 đánh giá
CellPhones,https://cellphones.com.vn/iphone-15-pro.html,3/10/2024,iPhone 15 Pro 128GB | Chính hãng VN/A,28.990.000đ,26.390.000đ,5.0/5,3 đánh giá
CellPhones,https://cellphones.com.vn/iphone-15-pro-256gb.html,3/10/2024,iPhone 15 Pro 256GB | Chính hãng VN/A,31.990.000đ,29.490.000đ,5.0/5,1 đánh giá
CellPhones,https://cellphones.com.vn/iphone-15-pro-512gb.html,3/10/2024,iPhone 15 Pro 512GB | Chính hãng VN/A,,,,
CellPhones,https://cellphones.com.vn/iphone-15-pro-1tb.html,3/10/2024,iPhone 15 Pro 1TB | Chính hãng VN/A,,,,
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-512gb.html,3/10/2024,iPhone 15 Pro Max 512GB | Chính hãng VN/A,40.990.000đ,38.990.000đ,4.8/5,5 đánh giá
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-1tb.html,3/10/2024,iPhone 15 Pro Max 1TB | Chính hãng VN/A,46.990.000đ,44.990.000đ,5.0/5,2 đánh giá
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-fe.html,3/10/2024,Samsung Galaxy S23 FE 5G 8GB 128GB,14.890.000đ,12.890.000đ,4.0/5,1 đánh giá
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-128gb.html,3/10/2024,Samsung Galaxy S23 8GB 128GB - Chỉ có tại CellphoneS,22.990.000đ,13.290.000đ,,
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23.html,3/10/2024,Samsung Galaxy S23 8GB 256GB,24.990.000đ,14.690.000đ,,
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-plus.html,3/10/2024,Samsung Galaxy S23 Plus 8GB 256GB,,,5.0/5,1 đánh giá
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-plus-512gb.html,3/10/2024,Samsung galaxy S23 Plus 8GB 512GB,,,5.0/5,1 đánh giá
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,3/10/2024,Samsung Galaxy S23 Ultra 256GB,31.990.000đ,24.490.000đ,4.9/5,19 đánh giá
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-512gb.html,3/10/2024,Samsung Galaxy S23 Ultra 12GB 512GB,36.990.000đ,27.990.000đ,5.0/5,2 đánh giá
CellPhones,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-1tb.html,3/10/2024,Samsung Galaxy S23 Ultra 12GB 1TB,,,,
