Platform_x,URL,Date Crawled,Store,Product Title,brand,Current Price,Discounted Price,Discount,Available Colors,sold_quanlity,rating_averrage,rating_count,Platform_y,customer_name,time_comment,content,thank_count,rating
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,phuong_bui_thu,2024-01-09 09:41 | Phân loại hàng: Pink,"Hàng chất lượng, giao nhanh, nhân viên shipper nhiệt tình, sẽ mua thêm nhiều lần nữa",2,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,t*****6,2024-01-20 20:19 | Phân loại hàng: Pink,"Đúng với mô tả: dep
Máy xinh, mượt, xứng đáng với giá tiền. Màu hồng rất sang và nữ tính",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,manhhang6666,2024-02-19 17:40 | Phân loại hàng: Pink,Đã nhận đc hàng. Chất lượng sản phẩm chuẩn hàng chính hãng… Ok,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,nlavu,2024-01-17 19:38 | Phân loại hàng: Blue,"Đúng với mô tả: đúng
Tính năng nổi bật: mới nguyên seal, chưa active
Chất lượng sản phẩm: đẹp
Giao nhanh, hàng đẹp chính hãng, nên mua",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,mrkhoa2812,2024-03-06 16:27 | Phân loại hàng: Green,Săn sale được giá tốt. Điện thoại đẹp pin trâu. Giao hàng nhanh cho shop 5s ạ.,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,0902836325hieu,2024-01-29 12:55 | Phân loại hàng: Blue,"Sp đặt hơi lâu , nhưng shop đóng gói rất cẩn thận , kiểm tra không có vấn đề gì về tình trạng bên ngoài của máy.",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,t*****_,2024-01-16 02:13 | Phân loại hàng: Green,"Sản phẩm tuyệt vời, có chất lương tốt, sẽ tiếp tục ủng hộ sau này",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,phamthuy08101994,2023-12-06 20:28 | Phân loại hàng: Pink,"Sản phẩm ok mọi người mua ủng hộ shop nhứ, giao hàng cũng nhanh và đầy đủ,",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,trangdht.2595,2024-01-01 00:29 | Phân loại hàng: Pink,"Đã nhận  được lần sản phẩm của shop, ship nhanh nhẹn đầy đủ hàng",1,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,touyenn20.08,2024-03-10 17:05 | Phân loại hàng: Pink,"Sản phẩm nguyên seal. Tôi đã sử dụng và rất hàng lòng, sẽ tiếp tục ủng hộ shop trong tương lai❤️",Hữu Ích?,5
