Platform,URL,Date Crawled,Store,Product Title,brand,Current Price,Discounted Price,Discount,Available Colors,sold_quanlity,rating_averrage,rating_count
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-Max-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.23354704062?sp_atk=1e856b60-89af-4613-bc12-cbf868a40cf4&xptdk=1e856b60-89af-4613-bc12-cbf868a40cf4,3/4/2024,Viettel Store - AAR,Apple iPhone 15 Pro Max 256GB Chính hãng VN/A,,₫37.790.000,₫31.890.000 - ₫37.790.000,16% GIẢM,"['Natural Titanium', 'Blue Titanium', 'White Titanium', 'Black Titanium']",5300,5,1k
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-128GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.22180197277?sp_atk=5d51a823-511b-49cd-96ab-a0c2ed41cf26&xptdk=5d51a823-511b-49cd-96ab-a0c2ed41cf26,3/4/2024,Viettel Store - AAR,Apple iPhone 15 Pro 128GB Chính hãng VN/A,,₫30.990.000,₫26.990.000 - ₫27.490.000,13% GIẢM,"['Natural Titanium', 'Blue Titanium', 'White Titanium', 'Black Titanium']",455,5,111
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-15-Pro-Max-256GB-i.288286284.21993222972?sp_atk=782f511e-3ba1-4e1e-b0b0-75a00690eb72&xptdk=782f511e-3ba1-4e1e-b0b0-75a00690eb72,3/4/2024,ShopDunk Official Store,Điện thoại Apple iPhone 15 Pro Max 256GB,Apple,₫43.990.000,₫31.890.000 - ₫32.590.000,28% GIẢM,"['Natural Titanium', 'Black Titanium', 'White Titanium', 'Blue Titanium']",2200,5,423
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-128GB-i.288286284.20084281397?sp_atk=e321d4e0-02f7-4861-87ef-2ad8e16ac9b8&xptdk=e321d4e0-02f7-4861-87ef-2ad8e16ac9b8,3/4/2024,ShopDunk Official Store,Apple iPhone 15 Pro 128GB,Apple,₫35.990.000,₫26.750.000,26% GIẢM,"['Natural Titanium', 'Black Titanium', 'White Titanium', 'Blue Titanium']",242,5,49
Shopee,https://shopee.vn/Apple-iPhone-15-Pro-256GB-Ch%C3%ADnh-h%C3%A3ng-VN-A-i.308461157.10399904059?sp_atk=3b2f5808-e0d3-462b-bddf-f644f9fa04f9&xptdk=3b2f5808-e0d3-462b-bddf-f644f9fa04f9,3/4/2024,Viettel Store - AAR,Apple iPhone 15 Pro 256GB Chính hãng VN/A,Apple,₫34.190.000,₫29.990.000,12% GIẢM,"['Blue Titanium', 'Natural Titanium', 'White Titanium', 'Black Titanium']",257,4.7,59
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-(S23-Plus)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.1013588070.22544881683?sp_atk=d7ba65a5-3bf9-4ad9-b623-1bbcc118b08d&xptdk=d7ba65a5-3bf9-4ad9-b623-1bbcc118b08d,3/4/2024,Di Động Minh Anh,Điện Thoại Samsung Galaxy S23+ (S23 Plus)- Hàng Chính Hãng,,₫18.590.000,₫17.390.000,6% GIẢM,"['KEM', 'XANH', 'ĐEN', 'TÍM NHẠT']",376,5,138
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-Plus-(-S23-)-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-m%E1%BB%9Bi-100-New-Seal-i.48406301.21673658781?sp_atk=67b2d9d9-5a86-4923-89e1-687f5cafa3a2&xptdk=67b2d9d9-5a86-4923-89e1-687f5cafa3a2,3/4/2024,SHOPSAMSUNG.VN LINHPHUKIEN.VN,Điện Thoại Samsung Galaxy S23 Plus ( S23+ ) - Hàng chính hãng mới 100% New Seal,,₫29.990.000,₫17.990.000,40% GIẢM,"['256GB', '512GB']",220,5,94
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-S23-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-m%E1%BB%9Bi-100-New-Seal-i.48406301.20373648039?sp_atk=56fd90d1-b651-49f7-94e1-0937715e7dc6&xptdk=56fd90d1-b651-49f7-94e1-0937715e7dc6,3/4/2024,SHOPSAMSUNG.VN LINHPHUKIEN.VN,Điện Thoại Samsung Galaxy S23 - Hàng chính hãng mới 100% New Seal,,₫22.990.000,₫14.690.000,36% GIẢM,"['128GB', '256GB']",248,5,94
Shopee,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Apple-iPhone-15-Pro-Max-256GB-i.88201679.20493037179?sp_atk=a2b9c6f5-de4f-448e-9af4-ea692119314b&xptdk=a2b9c6f5-de4f-448e-9af4-ea692119314b,3/4/2024,Apple Flagship Store,Điện thoại Apple iPhone 15 Pro Max 256GB,Apple,₫34.999.000,₫31.990.000 - ₫32.990.000,9% GIẢM,"['Titan - Tự Nhiên', 'Titan - Xanh', 'Titan - Trắng', 'Titan - Đen']",16400,5,"3,2k"
