URL,time_comment,name_cmt,content_cmt,info_cmt,like_count
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,28 thg 1 2024,T***.,"Máy đẹp, Laz giao nhanhhh lắm, uy tín - tin tưởng - giá tốt tốt tốt nhất thị trường ","Color Family:Pink, Storage Capacity:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,12 thg 11 2023,Đ***.,"Đây là hàng chính hãng nên chất lượng thì okay, giao hành tất nhanh ","Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,08 thg 10 2023,Nguyên X.,"Nguyên đai, nguyên kiện hàng mới 100 phần trăm, giao hàng bằng máy bay sáng đặt chiều có,, hàng chính hãng,tặng Shop 10 sao nè! Cảm ơn nhiều. ","Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",2
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,23 thg 1 2024,m***.,"Các tính năng đột phá, yêu cổng USB-C!, Độ phân giải màn hình tuyệt vời., Tuổi thọ pin lâu dài.,  ","Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,27 thg 1 2024,NiNi N.,"Chất liệu:  màu hồng
 Chất lượng:  chính hãng chưa active
 Tính năng:  chụp hình đẹp giao hàng nhanh chóng ","Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,21 thg 10 2023,H***i,"Gói hàng cẩn thận, đệm mút dày, nhận hàng không có dấu hiệu bị móp. Có tem niêm phong của lazada, cbi hàng hơi lâu nhưng giao cực nhanh, shipper nhiệt tình giao ngày mưa gió.  ","Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",2
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,20 thg 1 2024,Trang N.,"Màu sắc tuyệt đẹp, khó lựa chọn!, Thiết kế mượt mà, rất ưng!, Chất lượng camera ấn tượng!,  ","Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,20 thg 1 2024,3***6,"Giao hàng nhanh chóng và an toàn., Độ phân giải màn hình tuyệt vời.,  ","Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,12 thg 12 2023,N***.,Rất đáng tiền ,"Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 1 2024,Nguyen Q.,"Máy xịn, đóng gói cẩn thận, giá tốt ","Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,24 thg 1 2024,Thuận ?.,Newseal chưa bóc máy chuẩn chất lượng ,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,18 thg 11 2023,Trần L.,"Giao hàng nhanh chóng và an toàn.,  ","Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,6 ngày trước,bình P.,"Các tính năng đột phá, yêu cổng USB-C!, Lựa chọn màu sắc tuyệt vời!, Giao hàng nhanh chóng và an toàn., Độ phân giải màn hình tuyệt vời., Tuổi thọ pin lâu dài., Thiết kế mượt mà, rất ưng!, Dung lượng lưu trữ đủ dùng., ","Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,18 thg 11 2023,Phượng N.,"Màu sắc tuyệt đẹp, khó lựa chọn!,  ","Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,18 thg 11 2023,Trà M.,Máy chính hãng nhưng shop giao hàng cực kỳ lâu ,"Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,3 ngày trước,Phuong H.,"Giao hàng nhanh chóng và an toàn.Thiết kế mượt mà, rất ưng!...
 ","Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,08 thg 11 2023,V***.,"Chất lượng:  good
 Tính năng:  good
 Chất liệu:  good ","Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,18 thg 11 2023,Phan T.,"Tính năng:tốt
 Chất lượng:tốt
 Chất liệu:chuẩn
giao hàng nhanh , shiper nhiệt tình , thân thiện .Chất lượng khi nhận hàng được đảm bảo đúng mẫu mã ko có tình trạng trầy xước hay móp méo ","Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,10 thg 10 2023,3***9,Tốt ,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:256GB",1
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 1 2024,Tiên N.,Ok ,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,15 thg 11 2023,*******997,tốt  ,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,04 thg 11 2023,Ngan N.,tot ,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 12 2023,0***6,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,07 thg 1 2024,0***1,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,30 thg 9 2023,Ngoc H.,,"Dung Lượng Lưu Trữ:128GB, Nhóm Màu:Hồng",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 1 2024,Huỳnh T.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 10 2023,Ty T.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,18 thg 1 2024,Huỳnh T.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,16 thg 12 2023,Lê N.,,"Nhóm Màu:Black, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 12 2023,8***2,,"Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,22 thg 12 2023,8***1,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,24 thg 1 2024,Thong,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,18 thg 12 2023,9***5,,"Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 1 2024,Xuân D.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,26 thg 10 2023,Phan Q.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,28 thg 1 2024,S***.,,"Color Family:Black, Storage Capacity:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,30 thg 9 2023,An A.,,"Dung Lượng Lưu Trữ:128GB, Nhóm Màu:Vàng",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,15 thg 12 2023,Pe T.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 10 2023,0***5,,"Dung Lượng Lưu Trữ:256GB, Nhóm Màu:Hồng",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 1 2024,Thanh T.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,10 thg 2 2024,An H.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,28 thg 12 2023,9***2,,"Nhóm Màu:Black, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,27 thg 10 2023,Nguyễn T.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,10 thg 10 2023,Đường H.,,"Dung Lượng Lưu Trữ:256GB, Nhóm Màu:Hồng",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,20 thg 1 2024,Ho H.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,16 thg 10 2023,H***.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,4 tuần trước,C***.,,"Color Family:Pink, Storage Capacity:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,4 tuần trước,0***8,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,24 thg 10 2023,nguyen L.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,16 thg 12 2023,Trần D.,,"Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,27 thg 10 2023,Nguyễn T.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,14 thg 12 2023,anh T.,,"Nhóm Màu:Màu Xanh Lá Cây, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,21 thg 1 2024,9***2,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 1 2024,3***2,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,4 tuần trước,0***4,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,23 thg 1 2024,9***8,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,12 thg 12 2023,Lê V.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 1 2024,3***2,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,18 thg 1 2024,Lêminhphat,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,24 thg 10 2023,Nguyen V.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,30 thg 9 2023,Đàm T.,,"Dung Lượng Lưu Trữ:256GB, Nhóm Màu:Hồng",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,4 tuần trước,Hưng Đ.,,"Color Family:Black, Storage Capacity:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,12 thg 12 2023,0***9,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 1 2024,đỗ D.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 10 2023,Hoa B.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,10 thg 10 2023,Long,,"Nhóm Màu:Màu Xanh Lá Cây, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,21 thg 1 2024,Phương O.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 1 2024,0***3,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,23 thg 1 2024,Hiếu A.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 12 2023,8***2,,"Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,12 thg 10 2023,Nguyễn H.,,"Dung Lượng Lưu Trữ:128GB, Nhóm Màu:Xanh dương",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,24 thg 1 2024,Thong,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,4 tuần trước,0***0,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,4 tuần trước,0***6,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 10 2023,anh V.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
