id_shop,id_post
2882757985295673,2944397959131675
2882757985295673,3379912685580198
2071636162850853,7739693986045014
2882757985295673,3403847403186726
2882757985295673,3439215899649876
2882757985295673,3484542108450588
2071636162850853,7357265370954546
2882757985295673,3484540918450707
1322548688225780,1701757080304937
2882757985295673,3535519083352890
1598696627118953,3634493310205931
2882757985295673,3494839024087563
2071636162850853,7541380182543063
2882757985295673,3434737496764383
2071636162850853,7497032033644545
2882757985295673,3543001785937953
485718068166785,24849029318075654
2882757985295673,3515202935384505
2071636162850853,7327798100567940
2882757985295673,3423074181264048
2882757985295673,2989443981293739
2882757985295673,2992070527697751
2071636162850853,7599248730089541
2882757985295673,2965198993718238
2882757985295673,3566602526911212
2882757985295673,2985134505058020
2882757985295673,3491577107747088
2882757985295673,3504697056435093
2071636162850853,7990208710993539
2882757985295673,3514313092140156
2071636162850853,7441900639157685
191572364987423,1580597369418242
2882757985295673,3526923647545767
2882757985295673,3556183474619784
2071636162850853,7457680030913079
2071636162850853,7388890144458735
2882757985295673,3044953265742810
2071636162850853,7912540055427072
2882757985295673,3589648761273255
485718068166785,25289438110701437
2071636162850853,7500606336620448
2071636162850853,5571011266246641
2882757985295673,3585771368327661
2071636162850853,7483547398326342
2882757985295673,3000633376841466
2071636162850853,7337637076250709
1598696627118953,3632980060357256
2882757985295673,3595281774043287
2882757985295673,3017072078530929
2882757985295673,3076308309273972
2882757985295673,2999946596910144
2882757985295673,3590867694484695
2882757985295673,3494168214154644
2882757985295673,2984386615132809
463895081380886,645634649873594
498287336961883,5074163036040934
2071636162850853,7826216267392785
2882757985295673,3585182188386579
2071636162850853,7529898223691259
2882757985295673,3021243674780436
2882757985295673,3028179700753500
2882757985295673,2996872060550931
2071636162850853,5255397354474702
2071636162850853,7694783273869419
2882757985295673,3580889155482549
2882757985295673,3026744450897025
2071636162850853,8058380957509647
2882757985295673,3597261850511946
2882757985295673,2996875957217208
2882757985295673,3113933885511414
2882757985295673,3110051959232940
1610251709227473,3030162690569694
2027629300852320,3490947707853798
485718068166785,25564426939869218
485718068166785,25801527922825784
2882757985295673,3453308631573936
2882757985295673,2993414904229980
1943838262378956,6697761033653298
2882757985295673,3051352041769599
